# Index  Shot#  Recv#  Measured[s]  Calculated[s]  Residual[s]
   444      5     80  0.027990  0.029502  -0.001512
   445      5     81  0.028230  0.032286  -0.004056
   446      5     82  0.027740  0.031131  -0.003391
   447      5     83  0.027740  0.031003  -0.003263
   448      5     84  0.030200  0.031143  -0.000943
   449      5     91  0.033640  0.034239  -0.000599
   450      5     92  0.034370  0.033210  0.001160
   451      5     99  0.035360  0.034633  0.000727
   452      5    100  0.037810  0.035435  0.002375
   453      5    101  0.038300  0.037663  0.000637
   454      5    102  0.037810  0.035616  0.002194
   455      5    103  0.036830  0.035180  0.001650
   456      5    104  0.037320  0.035364  0.001956
   457      6      1  0.034760  0.035354  -0.000594
   458      6      2  0.034610  0.035668  -0.001058
   459      6      3  0.034170  0.034601  -0.000431
   460      6      4  0.034610  0.033941  0.000669
   461      6      5  0.034610  0.033404  0.001206
   462      6      6  0.034170  0.033477  0.000693
   463      6      7  0.034310  0.033361  0.000949
   464      6      8  0.034310  0.032720  0.001590
   465      6      9  0.035050  0.032441  0.002609
   466      6     10  0.034900  0.032943  0.001957
   467      6     11  0.033430  0.034255  -0.000825
   468      6     12  0.033430  0.032567  0.000863
   469      6     13  0.033130  0.031870  0.001260
   470      6     14  0.032100  0.031119  0.000981
   471      6     15  0.030920  0.030812  0.000108
   472      6     16  0.029890  0.029818  0.000072
   473      6     17  0.029300  0.029212  0.000088
   474      6     18  0.029150  0.028996  0.000154
   475      6     19  0.028560  0.028304  0.000256
   476      6     20  0.027520  0.027758  -0.000238
   477      6     21  0.026790  0.026854  -0.000064
   478      6     22  0.026340  0.027183  -0.000843
   479      6     23  0.026790  0.027245  -0.000455
   480      6     24  0.026790  0.026908  -0.000118
   481      6     25  0.026930  0.026216  0.000714
   482      6     26  0.025460  0.026056  -0.000596
   483      6     27  0.025160  0.025330  -0.000170
   484      6     28  0.025160  0.024549  0.000611
   485      6     29  0.024130  0.023708  0.000422
   486      6     30  0.023540  0.022909  0.000631
   487      6     31  0.022950  0.022246  0.000704
   488      6     32  0.022060  0.022480  -0.000420
   489      6     33  0.023390  0.022389  0.001001
   490      6     34  0.021920  0.021791  0.000129
   491      6     35  0.021330  0.021957  -0.000627
   492      6     36  0.021920  0.021342  0.000578
   493      6     37  0.022360  0.020841  0.001519
   494      6     38  0.020590  0.020850  -0.000260
   495      6     39  0.020150  0.020124  0.000026
   496      6     40  0.019850  0.019706  0.000144
   497      6     41  0.019850  0.018495  0.001355
   498      6     42  0.018820  0.018239  0.000581
   499      6     43  0.018080  0.017561  0.000519
   500      6     44  0.017200  0.017256  -0.000056
   501      6     45  0.016750  0.016286  0.000464
   502      6     46  0.014830  0.014735  0.000095
   503      6     47  0.014540  0.013767  0.000773
   504      6     48  0.012920  0.011905  0.001015
   505      6     49  0.008930  0.008185  0.000745
   506      6     50  0.005830  0.004100  0.001730
   507      6     52  0.006130  0.004385  0.001745
   508      6     53  0.006620  0.007823  -0.001203
   509      6     54  0.011040  0.010713  0.000327
   510      6     55  0.013250  0.012768  0.000482
   511      6     56  0.014230  0.013694  0.000536
   512      6     57  0.014970  0.014869  0.000101
   513      6     59  0.018160  0.016752  0.001408
   514      6     60  0.017670  0.016678  0.000992
   515      6     61  0.018900  0.017573  0.001327
   516      6     62  0.020370  0.017829  0.002541
   517      6     63  0.020130  0.017509  0.002621
   518      6     64  0.020370  0.018225  0.002145
   519      6     65  0.020130  0.018292  0.001838
   520      6     66  0.019880  0.018640  0.001240
   521      6     67  0.020620  0.018882  0.001738
   522      6     68  0.019640  0.019161  0.000479
   523      6     69  0.021360  0.019710  0.001650
   524      6     70  0.021110  0.020075  0.001035
   525      6     71  0.020620  0.020368  0.000252
   526      6     72  0.021110  0.020290  0.000820
   527      6     73  0.020860  0.020343  0.000517
   528      6     74  0.020860  0.020180  0.000680
   529      6     75  0.020620  0.020209  0.000411
   530      6     76  0.020370  0.020543  -0.000173
   531      6     77  0.021600  0.021189  0.000411
   532      6     78  0.021850  0.022101  -0.000251
   533      6     79  0.022580  0.022363  0.000217
   534      6     80  0.023570  0.023346  0.000224
   535      6     81  0.024790  0.026131  -0.001341
   536      6     82  0.024790  0.024976  -0.000186
   537      6     83  0.026270  0.024847  0.001423
   538      6     84  0.025530  0.024988  0.000542
   539      6     85  0.024060  0.025257  -0.001197
   540      6     86  0.025040  0.025732  -0.000692
   541      6     87  0.026760  0.026756  0.000004
   542      6     88  0.025530  0.027316  -0.001786
   543      6     89  0.023320  0.027403  -0.004083
   544      6     90  0.022580  0.027638  -0.005058
   545      6     91  0.022830  0.028084  -0.005254
   546      6     92  0.022090  0.027055  -0.004965
   547      6     93  0.021110  0.026467  -0.005357
   548      6     94  0.022580  0.027309  -0.004729
   549      6     96  0.021360  0.028503  -0.007143
   550      6     97  0.022090  0.028006  -0.005916
   551      6     98  0.021360  0.028047  -0.006687
