# Cell_X[m]  Cell_Y[m]  Velocity[m/s]
47.504752  -0.364140  266.823609
47.429938  -1.133221  357.274609
45.105480  -0.958138  333.509418
50.799429  -1.390386  557.195910
58.947630  -1.018528  467.227523
60.079389  -1.197480  493.653769
58.028132  -0.330048  285.987617
58.006686  -1.011331  387.665835
57.266902  -1.309963  407.014092
62.069286  -1.153577  399.677330
60.567357  -0.362297  231.184441
61.433528  -0.809242  353.066601
59.679738  -1.446088  470.240616
61.208447  -1.097736  388.566583
63.542374  -0.345932  386.163629
63.568172  -1.070034  406.962155
62.471022  -1.091245  391.488321
63.955322  -2.072766  610.743866
67.130875  -1.705854  587.302610
68.126208  -1.455005  492.551635
65.552128  -0.545251  387.962884
66.011595  -0.344729  321.301248
66.531407  -0.337064  312.748800
67.394913  -0.905804  364.803180
65.964877  -0.947084  414.718163
67.088286  -1.196087  391.898912
70.019213  -0.303600  232.252471
69.797374  -0.922220  324.816190
70.108239  -1.366024  386.602315
74.603056  -1.591402  567.452036
70.183506  -1.755016  523.539618
72.329305  -0.635964  306.081024
72.011984  -0.547810  302.507797
72.486724  -0.353548  332.978720
68.820049  -0.682549  263.076246
69.303950  -1.120280  386.520648
73.008402  -0.350319  359.639122
73.854698  -0.977755  431.689244
72.383139  -0.960106  398.896315
73.508209  -1.290643  401.736146
76.723475  -1.865066  692.721714
78.852939  -0.661669  313.882045
78.529508  -0.569563  333.661748
79.000816  -0.367030  234.951689
76.523469  -0.314482  318.124779
76.311341  -0.965110  389.041202
76.635551  -1.439424  466.999244
76.026288  -0.862067  409.364407
75.320312  -0.725022  364.711294
75.815594  -1.185799  485.818755
83.328462  -1.722611  604.495565
89.246023  -1.390155  281.810583
85.050961  -0.513865  285.447762
85.510612  -0.320722  249.068733
83.036365  -0.300265  278.737900
82.858831  -0.917467  368.407359
83.210831  -1.345896  431.410979
82.571054  -0.828404  370.898932
81.865353  -0.713844  302.830010
82.386362  -1.142136  449.518453
79.524424  -0.363196  218.438470
80.420082  -1.007674  304.003748
78.921322  -1.004497  324.583978
80.091058  -1.344120  292.431708
89.781242  -0.661218  218.702597
89.923632  -1.024672  279.498146
89.028383  -0.341939  207.429388
89.031248  -1.012817  274.725113
87.413133  -1.076515  285.091934
92.315427  -1.218685  473.194274
86.028039  -0.308468  233.261586
86.850224  -0.771070  245.380821
86.566160  -1.065400  271.993188
87.816633  -1.063693  281.951271
98.150115  -0.885671  253.431186
99.282327  -0.599512  216.082854
97.148605  -0.865806  265.416510
98.268342  -0.172482  210.524221
97.626783  -0.561768  234.406923
98.028556  -0.295191  213.622328
96.044345  -1.008184  314.416238
97.966030  -0.560368  233.523790
95.032661  -0.312191  249.014340
94.781701  -0.942860  359.070214
95.077315  -1.423994  340.883281
96.835242  -1.215565  309.592305
93.811118  -0.579402  259.631495
94.215321  -1.113256  356.568815
91.573954  -0.378117  230.039992
92.567604  -0.913117  416.733853
90.330035  -1.051608  291.591297
90.626951  -1.471283  411.108144
2.981037  -0.336036  202.591504
102.552017  -0.344119  228.489693
3.812201  -0.886446  235.496766
1.989025  -0.259316  200.647634
3.574484  -1.751553  516.793756
