# Cell_X[m]  Cell_Y[m]  Velocity[m/s]
63.375000  -0.135804  241.543325
79.875000  -0.135804  161.863293
61.125000  -0.087078  218.213370
79.974905  -1.308766  211.915543
61.697858  -0.903646  208.584267
76.000000  -0.222882  253.288425
64.875000  -0.087078  244.138679
65.000000  -0.222882  244.216932
66.000000  -0.222882  232.817709
66.125000  -0.087078  232.924774
67.708333  -0.169263  231.606840
89.893500  -0.575160  217.561545
68.072726  -2.446783  2406.605374
89.361804  -1.639192  280.147685
83.474336  -1.942123  1516.692839
66.712260  -0.427706  225.443434
86.875000  -0.087078  202.955031
78.125000  -0.135804  242.221705
68.437567  -0.567465  207.998882
87.875000  -0.087078  200.138602
71.092588  -1.050549  205.603112
87.125000  -0.135804  200.530137
68.940090  -1.549425  2376.617319
86.000000  -0.203097  215.241063
92.400008  -22.953857  6344.129275
60.325376  -12.353393  7296.152128
105.333333  -7.626667  203.609212
105.666667  -26.998333  2007.166466
105.166667  -0.166667  209.402554
94.712028  -3.224575  2789.549800
55.500000  -0.093383  244.093021
94.066685  -2.789495  2788.720855
67.875000  -0.073445  230.244732
73.708333  -0.229187  271.429440
68.291667  -0.180461  224.850194
90.769450  -0.385329  255.266127
82.092275  -2.298524  1451.870071
76.143268  -1.561858  1680.351824
86.920593  -0.470128  210.786579
74.708333  -0.214439  262.912079
84.524969  -3.797108  1625.557501
76.125000  -0.135804  252.593780
80.500000  -0.093383  205.214263
75.014393  -1.498675  1912.157754
58.977701  -11.232800  7326.736378
90.977783  -0.376589  256.476313
95.000000  -0.203097  247.843745
69.000000  -0.222882  210.245559
99.920593  -0.470128  163.451621
69.287740  -0.427706  203.999587
69.500000  -0.093383  201.445531
98.708333  -0.180461  197.126769
69.125000  -0.087078  207.907861
93.708333  -0.180461  264.766484
104.092170  -4.864072  2696.078882
70.875000  -0.135804  244.739270
71.000000  -0.222882  246.347923
102.875000  -0.087078  222.472023
97.125000  -0.135804  249.732047
71.291667  -0.180461  252.427048
71.356555  -1.102852  206.433314
96.875000  -0.087078  254.227209
71.125000  -0.087078  249.783401
102.920593  -0.470128  243.348044
70.000000  -0.222882  200.873722
100.708333  -0.180461  212.028378
0.875000  -0.087078  118.098310
73.307180  -0.376172  241.256746
93.851884  -0.814956  222.420183
73.125000  -0.087078  271.135230
72.875000  -0.073445  271.145442
95.500000  -0.093383  254.245132
72.125000  -0.082040  265.716154
0.125000  -0.375000  107.802504
3.118296  -0.498855  206.535471
74.125000  -0.087078  270.773725
74.291667  -0.180461  269.683633
2.359173  -0.493338  196.487660
4.507853  -0.647456  216.054750
75.500000  -0.093383  257.174893
77.500000  -0.095818  244.833318
70.613142  -0.742862  222.564837
74.707350  -0.903144  258.489422
3.291667  -0.180461  174.649468
74.000000  -0.222882  271.835753
94.875000  -0.082040  248.363521
71.875000  -0.121057  263.416762
2.977783  -0.376589  205.112357
98.125000  -0.135804  213.505004
90.500000  -0.095818  153.607440
104.666667  -29.666667  6078.879705
82.125000  -0.135804  264.738629
3.000000  -0.160523  169.791881
76.708333  -0.180461  247.507945
32.704407  -0.536015  200.393133
76.875000  -0.087078  246.662445
77.000000  -0.160523  245.806820
61.500000  -0.093383  238.718923
77.230550  -0.385329  251.678934
3.500000  -0.093383  181.445926
41.625000  -0.135804  248.472124
80.291667  -0.180461  177.941628
4.712260  -0.427706  214.784587
