# Index  Shot#  Recv#  Measured[s]  Calculated[s]  Residual[s]
   453      5    101  0.038300  0.037840  0.000460
   454      5    102  0.037810  0.035758  0.002052
   455      5    103  0.036830  0.035418  0.001412
   456      5    104  0.037320  0.035516  0.001804
   457      6      1  0.034760  0.035069  -0.000309
   458      6      2  0.034610  0.036262  -0.001652
   459      6      3  0.034170  0.035062  -0.000892
   460      6      4  0.034610  0.034295  0.000315
   461      6      5  0.034610  0.034099  0.000511
   462      6      6  0.034170  0.034021  0.000149
   463      6      7  0.034310  0.033780  0.000530
   464      6      8  0.034310  0.033396  0.000914
   465      6      9  0.035050  0.033313  0.001737
   466      6     10  0.034900  0.033666  0.001234
   467      6     11  0.033430  0.034882  -0.001452
   468      6     12  0.033430  0.032903  0.000527
   469      6     13  0.033130  0.032167  0.000963
   470      6     14  0.032100  0.031135  0.000965
   471      6     15  0.030920  0.030528  0.000392
   472      6     16  0.029890  0.029571  0.000319
   473      6     17  0.029300  0.029036  0.000264
   474      6     18  0.029150  0.028882  0.000268
   475      6     19  0.028560  0.028190  0.000370
   476      6     20  0.027520  0.027839  -0.000319
   477      6     21  0.026790  0.026799  -0.000009
   478      6     22  0.026340  0.027113  -0.000773
   479      6     23  0.026790  0.026815  -0.000025
   480      6     24  0.026790  0.026490  0.000300
   481      6     25  0.026930  0.026197  0.000733
   482      6     26  0.025460  0.025988  -0.000528
   483      6     27  0.025160  0.025116  0.000044
   484      6     28  0.025160  0.024445  0.000715
   485      6     29  0.024130  0.023788  0.000342
   486      6     30  0.023540  0.023122  0.000418
   487      6     31  0.022950  0.022128  0.000822
   488      6     32  0.022060  0.022574  -0.000514
   489      6     33  0.023390  0.022410  0.000980
   490      6     34  0.021920  0.021894  0.000026
   491      6     35  0.021330  0.021618  -0.000288
   492      6     36  0.021920  0.021105  0.000815
   493      6     37  0.022360  0.020428  0.001932
   494      6     38  0.020590  0.020407  0.000183
   495      6     39  0.020150  0.019770  0.000380
   496      6     40  0.019850  0.019478  0.000372
   497      6     41  0.019850  0.018039  0.001811
   498      6     42  0.018820  0.018172  0.000648
   499      6     43  0.018080  0.017314  0.000766
   500      6     44  0.017200  0.017009  0.000191
   501      6     45  0.016750  0.016272  0.000478
   502      6     46  0.014830  0.015317  -0.000487
   503      6     47  0.014540  0.014588  -0.000048
   504      6     48  0.012920  0.012940  -0.000020
   505      6     49  0.008930  0.008871  0.000059
   506      6     50  0.005830  0.004388  0.001442
   507      6     52  0.006130  0.004168  0.001962
   508      6     53  0.006620  0.008486  -0.001866
   509      6     54  0.011040  0.012718  -0.001678
   510      6     55  0.013250  0.014133  -0.000883
   511      6     56  0.014230  0.014428  -0.000198
   512      6     57  0.014970  0.015226  -0.000256
   513      6     59  0.018160  0.016672  0.001488
   514      6     60  0.017670  0.016891  0.000779
   515      6     61  0.018900  0.017954  0.000946
   516      6     62  0.020370  0.018563  0.001807
   517      6     63  0.020130  0.018372  0.001758
   518      6     64  0.020370  0.018877  0.001493
   519      6     65  0.020130  0.018843  0.001287
   520      6     66  0.019880  0.018993  0.000887
